BGG Rank,Complexity Average,Mech_role_camp,Strategy,Wargames
4062,3.88,1,0,1
16204,1.25,0,0,0
3915,1.07,0,0,0
3949,3.13,1,0,0
14728,2.33,0,0,0
19467,1.67,0,0,0
7213,1.82,0,0,0
17176,2.0,0,0,1
17314,2.59,1,0,1
6651,2.54,1,1,0
983,3.19,1,0,1
3947,2.98,0,1,0
10026,2.67,1,0,1
10936,2.0,0,0,0
3684,2.17,0,0,0
8733,1.75,0,0,0
7379,2.33,0,0,0
1743,1.53,1,0,0
17185,1.44,0,0,0
20282,1.11,0,0,0
4446,2.55,0,0,0
7446,1.97,1,0,1
2289,2.03,0,1,0
20248,1.03,0,0,0
5328,2.96,0,0,1
6197,1.71,1,0,0
14084,2.29,0,0,0
6293,2.6,0,1,0
15499,1.75,0,0,0
9852,1.27,0,0,0
19463,1.25,0,0,0
17602,1.0,0,0,0
3611,2.32,0,0,0
19713,1.0,0,0,0
7929,2.31,0,0,0
10574,2.27,1,0,1
7028,1.74,0,0,0
9767,1.65,0,0,0
6501,2.75,1,0,0
1543,2.08,0,0,0
18004,1.0,0,0,0
6423,1.25,0,0,0
1277,1.96,0,0,0
11739,1.0,0,0,0
916,1.05,0,0,0
6635,2.23,0,0,1
5304,1.0,0,0,0
10407,2.5,0,0,0
3810,2.52,1,1,0
2266,2.44,1,1,0
13819,1.7,0,0,0
6760,1.5,0,0,0
2827,2.93,1,0,0
12685,2.0,0,0,0
7262,1.4,0,0,0
5169,2.96,1,1,0
11596,1.5,1,0,0
12547,2.67,0,0,0
6914,2.59,0,0,0
2438,3.93,1,1,0
6459,2.67,1,0,0
11080,2.33,1,0,1
19333,1.0,0,0,0
6523,1.83,0,0,0
11966,2.0,0,0,0
9824,3.07,1,0,1
16340,2.44,0,0,0
10946,2.5,0,0,1
11876,1.17,0,0,0
17125,1.85,0,0,0
9426,1.75,0,0,0
9171,3.0,0,0,1
8119,1.25,1,0,0
11309,0.0,0,0,0
10311,3.0,0,0,0
15627,0.0,0,0,0
11076,2.0,1,0,0
12003,1.0,0,0,0
14616,2.29,0,0,0
3735,2.34,0,0,0
15867,1.27,0,0,0
6540,3.83,1,0,1
9102,1.13,0,0,0
6364,1.0,0,0,0
2264,2.84,0,0,1
16665,2.0,1,0,0
460,2.22,0,1,0
16245,1.5,0,0,0
12719,3.0,0,0,1
14670,2.91,1,0,1
15252,1.5,0,0,0
16998,1.0,0,0,0
17864,1.0,0,0,0
1389,1.36,0,0,0
2033,1.53,0,0,0
7032,2.24,0,0,1
8376,3.67,0,0,0
12847,3.05,1,0,1
9711,1.83,0,0,0
3671,2.75,0,1,0
2175,2.84,0,1,0
3268,2.08,0,0,0
521,1.21,0,0,0
4731,1.0,0,0,0
4752,1.18,0,0,0
14848,2.58,1,0,1
17270,1.5,0,0,0
866,4.01,1,0,1
14377,2.8,1,0,0
18647,0.0,0,0,0
16805,1.21,0,0,0
15763,0.0,0,0,0
7630,2.3,1,0,1
11816,1.5,0,0,0
18071,2.2,0,0,0
6210,2.0,1,0,0
3875,1.12,0,0,0
14737,1.67,0,0,0
17152,0.0,0,0,0
19500,1.12,0,0,0
9550,3.5,0,0,0
4188,2.54,0,0,0
221,2.3,0,1,0
17076,1.5,0,0,0
6347,1.73,0,0,0
13986,2.0,0,0,0
20028,1.2,0,0,0
2292,4.53,1,0,1
19118,1.25,0,0,0
11323,2.0,0,0,0
11974,2.0,0,0,1
17745,2.3,1,0,0
1551,2.14,0,0,0
8126,4.08,1,0,1
9070,2.0,1,0,0
16793,2.0,1,0,1
10981,2.56,0,0,0
2813,1.14,0,0,0
8216,1.0,0,0,0
19136,1.2,0,0,0
16146,1.0,0,0,0
19275,1.33,0,0,0
7212,1.63,0,0,0
15594,1.3,0,0,0
1716,3.09,0,1,0
19631,1.0,0,0,0
14524,1.0,0,0,0
518,1.97,1,0,0
839,2.01,1,1,0
5194,0.0,1,0,0
1171,2.29,1,1,0
6247,1.59,0,0,0
4013,3.55,1,0,0
19095,1.0,0,0,0
1142,2.93,0,1,0
9753,2.89,0,0,1
19752,1.2,0,0,0
12463,2.33,1,0,0
15854,1.6,0,0,0
16445,1.5,1,0,0
19301,1.69,0,0,0
444,1.17,1,0,0
865,2.82,1,0,0
14829,2.77,0,0,1
8174,2.61,1,1,0
19982,1.33,0,0,0
5351,1.89,1,0,0
17315,1.57,0,0,0
18474,1.75,0,0,0
14298,1.0,0,0,0
16927,1.33,0,0,0
5592,2.33,1,0,0
14149,1.0,0,0,0
19908,1.36,0,0,0
15875,2.0,1,0,0
5796,2.33,0,0,0
17273,2.2,0,0,0
18254,1.4,0,0,0
9296,2.13,0,0,0
18272,1.5,0,0,0
18092,1.36,0,0,0
204,3.21,0,1,0
7544,1.29,0,0,0
9090,1.83,0,0,1
14674,1.0,0,0,0
17365,2.0,0,0,0
3013,2.11,1,0,1
14704,2.0,1,0,0
9336,1.11,0,0,0
19731,1.41,0,0,0
12065,2.0,0,0,0
6815,2.83,1,0,0
18576,1.86,1,0,0
12724,2.33,1,0,0
11763,1.67,0,0,0
10921,0.0,0,0,0
15929,1.33,0,0,0
11552,2.93,1,0,1
18481,2.75,1,0,1
12935,2.0,0,0,0
14372,3.0,0,0,0
20170,1.06,0,0,0
1407,3.03,1,1,0
17696,1.17,0,0,0
19039,1.0,0,0,0
1,3.86,1,1,0
19662,1.83,0,0,0
10188,1.5,0,0,0
18570,1.0,0,0,0
10508,2.73,0,0,1
5623,4.47,0,0,1
